'cause	k AH z
potluck	p AA t l AH k
potomac	p AH t OW m AH k
pottage	p AA t AH JH
pottenger	p AA t IH n JH ER
pough	p AW
pouliot	p UW l IY OW
poulton	p AW l t AH n
poultry	p OW l t r IY
pouncey	p AW n s IY
pound's	p AW n d z
pounded	p AW n d IH d
poundstone	p AW n d s t OW n
pour	p AO r
pours	p AO r z
poussin	p UW s IH n
pouter	p AW t ER
powdery	p AW d ER IY
powell	p AW AH l
powell's	p OW IH l z
powerbook	p AW ER b UH k
powerful	p AW ER f AH l
powerfully	p AW ER f l IY
powerhouse	p AW ER h AW s
powerhouses	p AW ER h AW s IH z
powerless	p AW ER l AH s
powerlessness	p AW ER l AH s n AH s
powerpc	p AW ER p IY s IY
powers	p AW ER z
powless	p AW l IH s
poynor	p OY n ER
poyser	p OY s ER
poznanski	p AH z n AE n s k IY
pozner	p AA z n ER
practicable	p r AE k t AH k AH b AH l
practised	p r AE k t IH s t
practitioners	p r AE k t IH SH AH n ER z
practitioners(2)	p r AE k t IH SH n ER z
praeger	p r EY g ER
prager	p r EY g ER
pragma	p r AE g m AH
pragmatically(2)	p r AE g m AE t IH k l IY
pragmatists	p r AE g m AH t IH s t s
prakash	p r AA k AA SH
prancer	p r AE n s ER
prancing	p r AE n s IH NG
pranger	p r EY n JH ER
prankster	p r AE NG k s t ER
prasad	p r AE s AH d
prasek	p r AA s EH k
prater	p r EY t ER
pratfall	p r AE t f AO l
prayerful	p r EH r f AH l
prayerful(2)	p r EY ER f AH l
prayers(2)	p r EY ER z
preached	p r IY CH t
preachy	p r IY CH IY
preakness	p r IY k n AH s
prebon	p r IY b AA n
precaution	p r IY k AO SH AH n
preceded(2)	p r IY s IY d IH d
precht	p r EH k t
prechtl	p r EH k t AH l
precincts(2)	p r IY s IH NG k s
precip	p r EH s IH p
precipice	p r EH s AH p AH s
precipitate	p r IH s IH p IH t EY t
precipitating	p r IH s IH p AH t EY t IH NG
precipitous	p r IH s IH p IH t AH s
precise	p r IH s AY s
preclude	p r IH k l UW d
preclusion	p r IH k l UW ZH AH n
precocious(2)	p r IY k OW SH AH s
preconception	p r IY k AH n s EH p SH AH n
preconditions	p r IY k AH n d IH SH AH n z
precook	p r IY k UH k
precooked	p r IY k UH k t
precrash	p r IY k r AE SH
predated	p r IY d EY t IH d
predation	p r AH d EY SH AH n
predecessor	p r EH d AH s EH s ER
predetermined	p r IY d IY t ER m IH n d
predicament(2)	p r IY d IH k AH m AH n t
predicated	p r EH d AH k EY t IH d
predicating	p r EH d AH k EY t IH NG
predict(2)	p r IY d IH k t
predictability	p r IH d IH k t AH b IH l IH t IY
predicts(4)	p r IY d IH k s
predispose	p r IY d IH s p OW z
predispositions	p r IY d IH s p AH z IH SH AH n z
preelection	p r IY IH l EH k SH AH n
preemptive	p r IY EH m p t IH v
preen	p r IY n
preexisting	p r IY IH g z IH s t IH NG
prefabricate	p r IY f AE b r IH k EY t
prefabs	p r IY f AE b z
prefectural	p r IY f EH k CH ER AH l
preferable(2)	p r EH f r AH b AH l
prefered	p r IH f ER d
preferenced	p r EH f ER AH n s t
preferenced(2)	p r EH f r AH n s t
preferential	p r EH f ER EH n SH AH l
preferentially	p r EH f ER EH n SH AH l IY
preferred(3)	p r IY f ER d
prefrontal	p r IY f r AH n t AH l
pregler	p r EH g l ER
prego	p r EY g OW
preheim	p r EH h AY m
prehn	p r EH n
preiser	p r AY s ER
preisler	p r AY s AH l ER
preisler(2)	p r AY s l ER
prejudicing	p r EH JH AH d IH s IH NG
premeditate	p r IY m EH d AH t EY t
premier(2)	p r IY m IH r
premiere	p r EH m IH r
premise	p r EH m IH s
prenatal	p r IY n EY t AH l
prentice	p r EH n t IH s
prentiss	p r EH n t IH s
preoccupies	p r IY AA k j AH p AY z
preoccupy	p r IY AA k j AH p AY
preordain	p r IY AO r d EY n
preordained	p r IY AO r d EY n d
preordered	p r IY AO r d ER d
preorders	p r IY AO r d ER z
prepackaged	p r IY p AE k AH JH d
prepaid	p r IY p EY d
prepay	p r IY p EY
prepped	p r EH p t
preppie	p r EH p IY
prequel	p r IY k w EH l
prerecorded	p r IY r IY k AO r d IH d
prerogative	p r IH r AA g AH t IH v
pres	p r EH z
preschools(2)	p r IY s k UW l z
prescott	p r EH s k AA t
prescribe(2)	p r IY s k r AY b
prescribers	p r IY s k r AY b ER z
presences	p r EH z AH n s IH z
present(3)	p ER z EH n t
presentable	p r AH z EH n t AH b AH l
presented(2)	p ER z EH n t AH d
presenters	p r EH z AH n t ER z
presenting(2)	p r IY z EH n t IH NG
preservationist	p r EH z ER v EY SH AH n IH s t
preservationists	p r EH z ER v EY SH AH n IH s t s
preserve	p r AH z ER v
preserves	p r AH z ER v z
presidency's	p r EH z AH d AH n s IY z
presiding	p r IH z AY d IH NG
preslar	p r IH s l AA r
presnall	p r EH s n AH l
presser	p r EH s ER
pressly	p r EH s l IY
pressures	p r EH SH ER z
pressurizes	p r EH SH ER AY z IH z
preston	p r EH s t AH n
prestowitz	p r EH s t AH w IH t s
presumed(2)	p r IH z UW m d
presumes(2)	p r IY z UW m z
presumptions	p r IH z AH m p SH AH n z
presupposition	p r IY s AH p AH z IH SH AH n
presutti	p r EH s UW t IY
pretax	p r IY t AE k s
prete	p r IY t
pretend	p r IY t EH n d
pretending	p r IY t EH n d IH NG
pretense	p r IY t EH n s
pretension	p r IY t EH n SH AH n
pretensions	p r AH t EH n SH AH n z
prettier	p r IH t IY ER
prettyman	p r EH t IY m AH n
preusser	p r OY s ER
prevaricating	p r AH v EH r AH k EY t IH NG
preventable	p r IH v EH n t AH b AH l
preventatives	p r IY v EH n t AH t IH v z
prevented(4)	p r IY v EH n IH d
preventing(3)	p r IH v EH n IH NG
preventive(4)	p r IY v EH n IH v
previewing	p r IY v j UW IH NG
previous	p r IY v IY AH s
preyed	p r EY d
preyer	p r EY ER
preziosi	p r EH z IY OW s IY
priam's	p r AY AE m z
pribble	p r IH b AH l
priced	p r AY s t
priceless	p r AY s l AH s
priciest	p r AY s IY IH s t
pricklebacks	p r IH k AH l b AE k s
priddy	p r IH d IY
prideaux	p r IH d OW
priestess	p r IY s t AH s
priests	p r IY s t s
prieto	p r IY t OW
prigmore	p r IH g m AO r
primakov(2)	p r IY m AH k AA f
primary	p r AY m EH r IY
primeaux	p r IH m OW
primed	p r AY m d
primes	p r AY m z
primetime	p r AY m t AY m
primeval	p r AY m IY v AH l
primiano	p r IY m IY AA n OW
primm	p r IH m
primo	p r IY m OW
primus	p r AY m AH s
principal	p r IH n s AH p AH l
principle	p r IH n s AH p AH l
pring	p r IH NG
prinkey	p r IH NG k IY
prinos	p r IY n OW s
printable	p r IH n t AH b AH l
printer's(2)	p r IH n ER z
printing(2)	p r IH n IH NG
printings	p r IH n t IH NG z
printmaking	p r IH n t m EY k IH NG
printy	p r IH n t IY
prioleau	p r IY OW l OW
priore(2)	p r AY AO r AY
prioritize	p r AY AO r AH t AY z
prioritizing	p r AY AO r AH t AY z IH NG
pris	p r IH s
priscilla	p r IH s IH l AH
prisoners'(2)	p r IH z n ER z
prissy	p r IH s IY
privatized	p r AY v AH t AY z d
privatizing	p r AY v AH t AY z IH NG
privett	p r IH v IH t
privileges	p r IH v l AH JH AH z
privileges(4)	p r IH v IH l IH JH IH z
prizes	p r AY z AH z
proactively	p r OW AE k t IH v l IY
probable	p r AA b AH b AH l
probative	p r OW b EY t IH v
probing	p r OW b IH NG
problem	p r AA b l AH m
problem's	p r AA b l AH m z
problems	p r AA b l AH m z
procaccini	p r OW k AA CH IY n IY
procedure	p r AH s IY JH ER
proceed(2)	p r OW s IY d
proceeded(2)	p r OW s IY d IH d
proceeding	p r AH s IY d IH NG
proceeds	p r AH s IY d z
processing	p r AA s EH s IH NG
proclaiming	p r OW k l EY m IH NG
proclamation	p r AA k l AH m EY SH AH n
proclivity	p r OW k l IH v AH t IY
procordia	p r AA k AO r d IY AH
procrastinated	p r AH k r AE s t AH n EY t IH d
procrastinates	p r AH k r AE s t AH n EY t s
procure	p r OW k j UH r
procurement	p r OW k j UH r m AH n t
prodigiously	p r OW d IH JH IH s l IY
prodigy	p r AA d AH JH IY
prodigy's	p r AA d AH JH IY z
produc	p r OW d UW k
produce	p r AH d UW s
producers'	p r AH d UW s ER z
produces	p r AH d UW s AH z
production's(2)	p r AH d AH k SH AH n z
productions'(2)	p r OW d AH k SH AH n z
productive	p r AH d AH k t IH v
productive(2)	p r OW d AH k t IH v
products'	p r AO d AH k t s
proehl	p r OW l
profane	p r OW f EY n
professionalize	p r AH f EH SH AH n AH l AY z
professionally	p r AH f EH SH AH n AH l IY
profeta	p r OW f EH t AH
profile	p r OW f AY l
prognosticated	p r AA g n AA s t AH k EY t IH d
prognostications	p r AA g n AA s t AH k EY SH AH n z
prognosticative	p r AA g n AA s t AH k EY t IH v
programmatic	p r AA g r AH m AE t IH k
programmed	p r OW g r AE m d
progress(2)	p r AH g r EH s
progressively	p r AA g r EH s IH v l IY
prohaska	p r AH h AA s k AH
prohibit	p r OW h IH b AH t
prohibited	p r OW h IH b AH t AH d
prohibition	p r OW AH b IH SH AH n
prohibition's	p r OW AH b IH SH AH n z
prohibitions	p r OW AH b IH SH AH n z
project's	p r AA JH EH k t s
projectiles(2)	p r AH JH EH k t AY l z
projects(4)	p r AH JH EH k s
prolactin	p r OW l AE k t AH n
proliferated	p r AH l IH f ER EY t IH d
prolonging	p r OW l AO NG IH NG
prolongs	p r AH l AO NG z
promenade	p r AA m AH n EY d
prometheus	p r AH m IY TH IY AH s
prominently	p r AA m AH n AH n t l IY
promises	p r AA m AH s AH z
promising	p r AA m AH s IH NG
promoters	p r AH m OW t ER z
promotion	p r AH m OW SH AH n
promotional(2)	p ER m OW SH AH n AH l
promptly	p r AA m p t l IY
promulgating	p r AA m AH l g EY t IH NG
promus	p r OW m AH s
pronged	p r AO NG d
pronger	p r AO n g ER
prongs	p r AO NG z
pronounce	p r AH n AW n s
pronunciations	p r OW n AH n s IY EY SH AH n z
propagandists	p r AA p AH g AE n d AH s t s
propellants	p r OW p EH l AH n t s
property	p r AA p ER t IY
prophesies	p r AA f AH s AY z
prophet	p r AA f AH t
prophetic	p r AH f EH t IH k
prophylactic(2)	p r OW f IH l AE k t IH k
propitious	p r AH p IH SH AH s
proponents	p r AH p OW n AH n t s
proprietor	p r AH p r AY AH t ER
proration	p r OW r EY SH AH n
pros	p r OW z
proscar	p r AO s k AA r
prosch	p r AO SH
proscia	p r OW s CH AH
proscription	p r OW s k r IH p SH AH n
prose	p r OW z
prosecutor	p r AA s IH k j UW t ER
prosecutors'	p r AA s AH k j UW t ER z
prosekey	p r OW s EH k IY
proskauer	p r AO s k AW r
prospecting	p r AO s p EH k t IH NG
prospects	p r AA s p EH k t s
prospectus	p r AH s p EH k t AH s
prospera	p r OW s p EH r AH
prospering	p r AA s p ER IH NG
prosthetics	p r AA s TH EH t IH k s
protecting	p r AH t EH k t IH NG
protectionist	p r AH t EH k SH AH n IH s t
protestant	p r AA t AH s t AH n t
protestations	p r OW t EH s t EY SH AH n z
protested	p r AH t EH s t IH d
protesting(2)	p r OW t EH s t IH NG
protests(2)	p r OW t EH s
prothallus	p r OW TH AE l AH s
proto-stirrup	p r OW t OW s t ER AH p
proton's	p r OW t AA n z
protons	p r OW t AA n z
prototype	p r OW t AH t AY p
protozoans	p r OW t AH z OW AH n z
protropin(2)	p r OW t r OW p IH n
protrude	p r OW t r UW d
protruding	p r OW t r UW d IH NG
protuberance(2)	p r AH t UW b ER AH n s
protuberances(2)	p r AH t UW b ER AH n s AH z
proud	p r AW d
prouder	p r AW d ER
proudfoot's	p r AW d f UH t s
provencio	p r OW v EH n s IY OW
provenience	p r AH v EH n IY AH n s
provenza	p r OW v EH n z AH
proverb	p r AA v ER b
proves	p r UW v z
providence's	p r AA v AH d AH n s IH z
providian	p r OW v IH d IY AH n
provincetown	p r AA v AH n s t AW n
provincialism	p r AH v IH n SH AH l IH z AH m
proving	p r UW v IH NG
provocative	p r OW v AA k AH t IH v
provoking	p r AH v OW k IH NG
prowell	p r AA w EH l
prowling	p r AW l IH NG
proximate	p r AA k s AH m AH t
proximity	p r AA k s IH m AH t IY
proxmire	p r AA k s m AY r
proxy	p r AA k s IY
prudential	p r UW d EH n SH AH l
pruette	p r UW EH t
prunier	p r UW n IY ER
prunty	p r AH n t IY
prusak	p r UW s AH k
pryce	p r AY s
prying	p r AY IH NG
przybyla	p ER z AH b IH l AH
przybylski	p ER z AH b IH l s k IY
przybysz	p ER z IH b IH SH
pshew	p SH UW
psi	s AY
psyches	s AY k IY z
psychiatric	s AY k IY AE t r IH k
psychiatrist's	s AH k AY AH t r AH s t s
psycho-social	s AY k OW s OW SH AH l
psychologically	s AY k AH l AA JH IH k l IY
psychopath	s AY k OW p AE TH
psychopathic	s AY k AH p AE TH IH k
psychosomatic	s AY k OW s AH m AE t IH k
ptolemaic	t AA l AH m EY IH k
ptomaines	t OW m EY n z
ptyon	t AY AO n
public-spiritedness	p AH b l IH k s p IH r IH t IH d n AH s
publicist	p AH b l IH s IH s t
publicity	p AH b l IH s AH t IY
publicity(2)	p AH b l IH s IH t IY
publicized	p AH b l IH s AY z d
publicizing	p AH b l AH s AY z IH NG
published	p AH b l IH SH t
publitech	p AH b l IH t EH k
pucci	p UW CH IY
pucciarelli	p UW CH ER EH l IY
puddings	p UH d IH NG z
puddles	p AH d AH l z
pudgie	p AH JH IY
pudgie's	p AH JH IY z
pudong(2)	p UW d AO NG
pudwill	p AH d w IH l
puebla	p w EY b l AH
puente	p UW n t
puerile	p j UW r IY l
puerto(3)	p AO r t ER
puerto-rican	p w EH r t OW r IY k AH n
puerto-rico(3)	p AO r t ER r IY k OW
puetz	p UW t s
pug	p AH g
puget	p j UW JH IH t
puglisi	p UW g l IY s IY
pugwash	p AH g w AA SH
puller	p UH l ER
pulley	p UH l IY
pullum	p UH l AH m
pulos	p UW l OW z
pulpits	p UH l p IH t s
pulpwood	p AH l p w UH d
pulsating	p AH l s EY t IH NG
pulse	p AH l s
pulverize	p AH l v ER AY z
pulvermacher	p AH l v ER m AH k ER
pummeled	p AH m AH l d
pumpkin(2)	p AH m k IH n
pumsie	p AH m z IY
pun	p AH n
punched	p AH n CH t
punches	p AH n CH IH z
punctuate	p AH NG k CH UW EY t
puncture	p AH NG k CH ER
punctures	p AH NG k CH ER z
pundit	p AH n d AH t
pundits	p AH n d IH t s
pungently	p AH n JH AH n t l IY
punisher	p AH n IH SH ER
punishments	p AH n IH SH m AH n t s
punks	p AH NG k s
punsalan	p AH n s AA l AH n
punter	p AH n t ER
puopolo	p w OW p OW l OW
pupo	p UW p OW
puppy	p AH p IY
pups	p AH p s
purchasers	p ER CH AH s ER z
purchases	p ER CH AH s AH z
purchases(2)	p ER CH AH s IH z
purest	p j UH r AH s t
purification	p j UH r AH f AH k EY SH AH n
purifiers	p j UH r AH f AY ER z
purile	p j UW r AH l
puritanism	p j UH r AH t AH n IH z AH m
purity(2)	p j UH r IH t IY
purk	p ER k
purpa	p ER p AH
purposeless	p ER p AH s l AH s
purrington	p ER IH NG t AH n
pursed	p ER s t
pursell	p ER s AH l
purses	p ER s IH z
pusant	p j UW s AA n t
pusateri	p UW s AA t EH r IY
pusher	p UH SH ER
pushers	p UH SH ER z
pushes	p UH SH AH z
pushover	p UH SH OW v ER
pushups	p UH SH AH p s
puskas	p AH s k AH z
puss(2)	p AH s
pussyfoot	p UH s IY f UH t
putative	p j UW t AH t IH v
putes	p j UW t s
puth	p UW TH
putin	p UW t IH n
putrid	p j UW t r IH d
puttenbay	p AH t IH n b EY
puza	p UW z AH
pvc	p IY v IY s IY
pyeatt	p AY AH t
pygmies	p IH g m IY z
pygmy	p IH g m IY
pyka	p IH k AH
pyland	p AY l AH n d
pylon	p AY l AA n
pylori	p AY l AO r IY
pyrena	p IH r IY n AH
pyrenees'	p IH r AH IY z
pyro	p AY r OW
pyron	p IH r AH n
pyrotechnic	p AY r OW t EH k n IH k
pythia	p IH TH IY AH
q's	k j UW z
q.'s	k j UW z
qaeda	k AY d AA
qana	k AA n AH
qiao	k IY AW
quad	k w AA d
quade	k w EY d
quadrant	k w AA d r AH n t
quadratic	k w AA d r AA t IH k
quai	k IY
quails	k w EY l z
quake's	k w EY k s
quaker	k w EY k ER
quakes	k w EY k s
qualcomm's	k w AA l k AA m z
qualifier	k w AA l AH f AY ER
qualifies	k w AA l AH f AY z
qualify	k w AA l AH f AY
qualifying	k w AA l AH f AY IH NG
qualitative	k w AA l AH t EY t IH v
qualms	k w AA m z
quandaries	k w AA n d ER IY z
quang	k w AO NG
quant	k w AE n t
quantico	k w AA n t IH k OW
quarantined(2)	k w AO r AH n t AY n d
quarantining(2)	k w AO r AH n t AY n IH NG
quarreling	k w AA r AH l IH NG
quarry	k w AO r IY
quarterbacks	k w AO r t ER b AE k s
quarters'	k w AO r t ER z
quartet	k w AO r t EH t
quasar	k w EY z AA r
quasimodo	k AE z IY m OW d OW
quassia	k w AA SH IY AH
quay's(2)	k EY z
quayle	k w EY l
quayles	k w EY l z
quazulu's	k w AA z UW l UW z
quddus	k UW d UW s
quealy	k w IY l IY
queasiness	k w IY z IY n AH s
queau	k w OW
quebec's	k w IH b EH k s
quebecker	k w AH b EH k ER
quebecor	k w EH b IH k AO r
queens	k w IY n z
queensway	k w IY n z w EY
queer	k w IH r
queerer	k w IH r ER
quelled	k w EH l d
quesada	k w EY s AA d AH
questar	k w EH s t ER
questioner	k w EH s CH AH n ER
quests	k w EH s t s
queuing	k j UW IH NG
quickening	k w IH k AH n IH NG
quickness	k w IH k n AH s
quicksand	k w IH k s AE n d
quicksilver	k w IH k s IH l v ER
quieter	k w AY AH t ER
quiggle	k w IH g AH l
quilali	k w IH l AA l IY
quill	k w IH l
quillen	k w IH l AH n
quilter	k w IH l t ER
quilts	k w IH l t s
quinon	k w IH n AH n
quinones	k w IH n OW n z
quinonez	k w IY n OW n EH z
quint	k w IH n t
quinta	k w IH n t AH
quintela	k w IY n t EY l AH
quinteros	k w IY n t EH r OW z
quintet	k w IH n t EH t
quintin	k w IH n t IH n
quintuplet	k w IH n t AH p l AH t
quipp	k w IH p
quiring	k w AY r IH NG
quiroga	k w IH r OW g AH
quiroz	k w IH r OW z
quiry	k w AY r IY
quisling	k w IH z l IH NG
quite	k w AY t
quitting	k w IH t IH NG
quixotic	k w IH k s AA t IH k
quizzical	k w IH z AH k AH l
quotas	k w OW t AH z
quotation	k w OW t EY SH AH n
quotient	k w OW SH AH n t
qureshey	k UH r EY SH EY
qureshi	k UH r EY SH IY
r's	AA r z
ra	r AA
raab's	r AA b z
rabbit(2)	r AE b IH t
rabble	r AE b AH l
rabel	r AE b AH l
rabes	r EY b IY z
rabideau	r AE b IH d OW
rabin	r AA b IY n
rabine	r AH b IY n
rabobank	r AA b OW b AE NG k
racamier	r AE k AH m AY r
racer	r EY s ER
racers	r EY s ER z
raceway	r EY s w EY
racey	r EY s IY
rachad	r AH SH AA d
rachi	r AH SH IY
rachlin	r AE k l IH n
raciest	r EY s IY AH s t
racine	r AH s IY n
racket	r AE k IH t
rackliff	r AE k l IH f
racquet	r AE k IH t
racquets	r AE k IH t s
raczka	r AA CH k AH
raczynski	r AH CH IH n s k IY
rad	r AE d
radars	r EY d AA r z
radbourn	r AH d b UH r n
radde	r AE d
radder	r AE d ER
radell	r AA d EY l
radella	r AH d EH l AH
radha	r AA d AH
radiated	r EY d IY EY t IH d
radical	r AE d AH k AH l
radical(2)	r AE d IH k AH l
radicalization	r AE d IH k AH l IH z EY SH AH n
radicalized	r AE d IH k AH l AY z d
radically	r AE d IH k l IY
radich	r AE d IH k
radinka	r AH d IH NG k AH
radios	r EY d IY OW z
radish	r AE d IH SH
radium	r EY d IY AH m
radnor	r AE d n ER
rado	r AA d OW
radomski	r AH d AA m s k IY
radon	r EY d AA n
radowski	r AH d OW s k IY
radowski's	r AH d OW s k IY z
rady	r EY d IY
raffa	r AE f AH
raffensperger	r AE f IH n s p ER g ER
raffi	r AE f IY
raffish	r AE f IH SH
raffle	r AE f AH l
raft	r AE f t
rafting	r AE f t IH NG
rage	r EY JH
ragen	r AE g AH n
rages	r EY JH IH z
rags	r AE g z
ragunathan	r AA g UW n AH TH AA n
rai	r AA IY
raiche	r EY CH
raider	r EY d ER
raikes	r EY k s
railbikers	r EY l b IH k ER z
railey	r EY l IY
railing	r EY l IH NG
railroad's	r EY l r OW d z
railsback	r EY l z b AE k
railway's	r EY l w EY z
raimer	r EY m ER
raincoat	r EY n k OW t
rained	r EY n d
rainfall	r EY n f AO l
rainie	r EY n IY
rainley's	r EY n l IY z
rainville	r EY n v IH l
raisanen	r AY s AH n AH n
raiser	r EY z ER
raisins	r EY z AH n z
raisins(2)	r EY z IH n z
rajala	r AA j AA l AH
rajala(2)	r AA JH AA l AH
raking	r EY k IH NG
rakish	r EY k IH SH
raleigh	r AO l IY
raley	r AE l IY
ralf	r AA l f
rally's	r AE l IY z
ramallah	r AH m AE l AH
ramallah(2)	r AH m AA l AH
raman(2)	r AA m AH n
rambert	r AE m b ER t
rambling(2)	r AE m b AH l IH NG
ramella	r AH m EH l AH
ramesses(2)	r AE m s IY z
ramiro	r AH m IH r OW
ramm	r AE m
ramming	r AE m IH NG
ramo	r EY m OW
ramona	r AH m OW n AH
rampaged	r AE m p EY JH d
rampaged(2)	r AE m p EY JH d
rampey	r AE m p IY
rampley	r AE m p l IY
ramqvist	r AE m k v IH s t
ramzi	r AE m z IY
ran	r AE n
ranalli	r AH n AE l IY
rancher	r AE n CH ER
ranchera	r AA n CH EH r AH
ranches	r AE n CH AH z
rancor	r AE NG k ER
randel	r AE n d AH l
randell	r AE n d EH l
randi	r AE n d IY
randle	r AE n d AH l
randolph	r AE n d AA l f
rands	r AE n d z
randy's	r AE n d IY z
ranges(2)	r EY n JH IH z
rangoon's	r AE NG g UW n z
ranker	r AE NG k ER
rankine	r AE NG k AY n
rankings	r AE NG k IH NG z
rankles	r AE NG k AH l z
rankling	r AE NG k l IH NG
ranks	r AE NG k s
rannow	r AE n OW
ransall	r AE n s AA l
ransburg's	r AE n z b ER g z
ranted	r AE n t IH d
ranting	r AE n t IH NG
rantoul	r AE n t UW l
ranum	r AE n AH m
raoul	r AA UW l
raper	r EY p ER
rapers	r EY p ER z
raphael(2)	r AA f j EH l
rapists	r EY p IH s t s
rapkin	r AE p k IH n
rapozo	r AA p OW z OW
raptorial	r AE p t AO r IY AH l
rapture	r AE p CH ER
raquel	r AH k EH l
rarefy	r EH r AH f AY
rasch	r AE SH
raschke	r AE SH k
rascoe	r AE s k OW
rashid(2)	r AA SH IY d
rasmin	r AE s m AH n
rasor	r EY z ER
raspberries	r AE z b EH r IY z
rasputin	r AH s p j UW t IH n
rasputin's	r AE s p j UW t AH n z
rasterop	r AE s t ER AA p
rastetter	r EY s t IH t ER
rastus	r AE s t AH s
rata	r AE t AH
ratatisements	r AE t AH t AY z m AH n t s
ratcheting	r AE CH AH t IH NG
ratepayers	r EY t p EY ER z
rater	r EY t ER
rathbone	r AE TH b OW n
rathbun	r AE TH b AH n
rathburne's	r AE TH b ER n z
rather's	r AE DH ER z
rathman	r AE TH m AH n
rating	r EY t IH NG
rationales	r AE SH AH n AE l z
rationalization(2)	r AE SH n AH l IH z EY SH AH n
rationed	r AE SH AH n d
ratledge	r AE t l IH JH
ratley	r AE t l IY
ratliffe's	r AE t l IH f s
rats	r AE t s
ratterree	r AE t ER IY
rattigan's	r AE t IH g AH n z
rattle	r AE t AH l
rattled	r AE t AH l d
rattlesnake	r AE t AH l s n EY k
rattner	r AE t n ER
ratzinger	r AE t s IH NG ER
raub	r AO b
rauch	r AO CH
raucher	r AO CH ER
raucher's	r AO CH ER z
raul(2)	r AA UW l
raulston	r AO l s t AH n
raupp	r AO p
rautio	r AW t IY OW
raveled	r AE v AH l d
ravenell	r AE v IH n EH l
ravenna	r AH v EH n AH
ravenscraft	r EY v AH n z k r AE f t
raves	r EY v z
ravindran	r AA v IH n d r AH n
ravioli	r AE v IY OW l IY
raw	r AA
rawalpindi	r AE w AO l p IH n d IY
rawlinson	r AO l IH n s AH n
rawls	r AO l z
rax	r AE k s
rayborn	r EY b ER n
raycraft	r EY k r AE f t
raye	r EY
rayed	r EY d
rayl	r EY l
raymo	r EY m OW
raymund	r EY m AH n d
rayner	r EY n ER
rayon	r EY AH n
raytheon	r EY TH IY AA n
razor's	r EY z ER z
razr	r AE z r
razzle	r AE z AH l
reacted	r IY AE k t IH d
read(2)	r IY d
reader	r IY d ER
readjustments	r IY AH JH AH s t m AH n t s
readmission	r IY AE d m IH SH AH n
reaffirmed	r IY AH f ER m d
reaffirming	r IY AH f ER m IH NG
reagan's	r EY g AH n z
reagan's(2)	r IY g AH n z
reaganite	r EY g AH n AY t
reagans'	r EY g AH n z
reagent	r IY EY JH AH n t
reagents(2)	r IY JH AH n t s
real-time	r IY l t AY m
real-world	r IY l w ER l d
reali	r IY l IY
realignments	r IY AH l AY n m AH n t s
realisable	r IY AH l AY z AH b AH l
realist	r IY AH l IH s t
realizable	r IY AH l AY z AH b AH l
realms	r EH l m z
realtors(2)	r IY l t ER z
realty	r IY AH l t IY
realty(3)	r IY l t IY
reanalyzing	r IY AE n AH l AY z IH NG
reaped	r IY p t
reaper	r IY p ER
reapply	r IY AH p l AY
rearden	r IH r d AH n
rearmament	r IY AA r m AH m AH n t
rearview(2)	r IY r v j UW
reasoner	r IY z AH n ER
reassembly	r IY AH s EH m b l IY
reassertion	r IY AH s ER SH AH n
reassign	r IY AH s AY n
reassigned	r IY AH s AY n d
reassurances(2)	r IY AH SH UH r AH n s IH z
reassures	r IY AH SH UH r z
reauthorizing	r IY AO TH ER AY z IH NG
reaver	r IY v ER
reback	r IY b AE k
rebate	r IY b EY t
rebated	r IY b EY t IH d
rebecca	r AH b EH k AH
rebeck	r IY b EH k
rebekka	r IH b EH k AH
rebel's	r EH b AH l z
reber	r EH b ER
rebid	r IY b IH d
rebstock	r EH b s t AA k
rebuilding	r IY b IH l d IH NG
rebuke	r IY b j UW k
rebut(2)	r IY b AH t
rebuttals	r IH b AH t AH l z
recalling	r IH k AO l IH NG
recap	r IY k AE p
recap(2)	r IH k AE p
recapitalized	r IY k AE p IH t AH l AY z d
recapping	r IY k AE p IH NG
recaps	r IY k AE p s
recapturing	r IY k AE p CH ER IH NG
recast	r IY k AE s t
recasting	r IY k AE s t IH NG
receding	r IH s IY d IH NG
receipts	r IH s IY t s
received(2)	r IH s IY v d
receiver	r AH s IY v ER
receivership(2)	r IY s IY v ER SH IH p
recent	r IY s AH n t
receptacle	r AH s EH p t AH k AH l
receptech	r IY s EH p t EH k
receptionists(3)	r IH s EH p SH AH n IH s
receptivity	r IY s EH p t IH v IH t IY
recertification	r IY s ER t AH f AH k EY SH AH n
recertified	r IY s ER t IH f AY d
recess	r IH s EH s
recess(2)	r IY s EH s
recidivist	r AH s IH d IH v IH s t
recidivists	r AH s IH d IH v IH s t s
recipe	r EH s AH p IY
recipient	r AH s IH p IY AH n t
recipient's	r IH s IH p IY AH n t s
recipients'	r IH s IH p IY AH n t s
reciprocal	r IH s IH p r AH k AH l
reciprocant	r IY s IH p r AH k AH n t
reciprocants	r IY s IH p r AH k AH n t s
recital	r AH s AY t AH l
recitals	r IH s AY t AH l z
recites	r IY s AY t s
reckon	r EH k AH n
reckoned	r EH k AH n d
reclaimer's	r IY k l EY m ER z
reclassify	r IY k l AE s IH f AY
reclassifying	r IY k l AE s IH f AY IH NG
recluse	r IH k l UW s
reclusive(2)	r IY k l UW s IH v
reco	r EH k OW
recognises	r EH k AH g n AY z IH z
recognition	r EH k AH g n IH SH AH n
recognizably	r EH k AH g n AY z AH b l IY
recoils	r IY k OY l z
